long;lat;linea;estacion;escaleras_mecanicas;ascensores
-58,43642853;-34,61827997;A;ACOYTE;2;2
-58,4567098;-34,62666659;A;CARABOBO;3;3
-58,42181567;-34,61177023;A;CASTRO BARROS;1;1
-58,39266882;-34,60922568;A;CONGRESO;2;2
-58,3822324;-34,60909981;A;LIMA;1;0
-58,41518571;-34,61078169;A;LORIA;1;1
-58,37426773;-34,60855907;A;PERU;2;2
-58,37908515;-34,60888172;A;PIEDRAS;1;0
-58,3709685;-34,60881031;A;PLAZA DE MAYO;0;1
-58,40670712;-34,60981725;A;PLAZA MISERERE;6;0
-58,44117763;-34,62040521;A;PRIMERA JUNTA;3;2
-58,44864765;-34,62352895;A;PUAN;3;3
-58,38677719;-34,60941259;A;SAENZ PEÑA;2;0
-58,46354051;-34,62908723;A;SAN JOSE DE FLORES;4;3
-58,46963963;-34,63070709;A;SAN PEDRITO;3;2
-58,43127386;-34,60216223;B;ANGEL GALLARDO;1;0
-58,39231424;-34,60441954;B;CALLAO;5;3
-58,39312518;-34,59963955;B;CALLAO;5;3
-58,4117626;-34,60407952;B;CARLOS GARDEL;4;0
-58,38071485;-34,60363711;B;CARLOS PELLEGRINI;2;0
-58,44757309;-34,59171815;B;DORREGO;1;0
-58,4810135;-34,57779738;B;ECHEVERRIA;5;3
-58,45502929;-34,58719785;B;FEDERICO LACROZE;3;0
-58,37507152;-34,60329729;B;FLORIDA;4;0
-58,48638535;-34,57431891;B;JUAN MANUEL DE ROSAS;11;6
-58,36992985;-34,6029895;B;LEANDRO ALEM;2;0
-58,47424083;-34,58124885;B;LOS INCAS;4;2
-58,4397715;-34,59896736;B;MALABIA;1;0
-58,42096247;-34,6031649;B;MEDRANO;1;0
-58,39947426;-34,60464297;B;PASTEUR;4;0
-58,40539944;-34,60458106;B;PUEYRREDON;5;0
-58,40239534;-34,59442572;B;PUEYRREDON;5;0
-58,4662272;-34,58409462;B;TRONADOR;4;2
-58,38729613;-34,60409355;B;URUGUAY;2;3
-58,38061072;-34,60898331;C;AVENIDA DE MAYO;3;0
-58,38143443;-34,62761945;C;CONSTITUCION;2;4
-58,37952998;-34,60484374;C;DIAGONAL NORTE;4;0
-58,38017361;-34,6181256;C;INDEPENDENCIA;2;0
-58,38153494;-34,61793739;C;INDEPENDENCIA;2;0
-58,37815578;-34,60176992;C;LAVALLE;4;0
-58,38044447;-34,61261728;C;MORENO;2;0
-58,37401822;-34,59119381;C;RETIRO;2;0
-58,37663233;-34,59190136;C;RETIRO;2;0
-58,37992118;-34,62191673;C;SAN JUAN;2;0
-58,37781905;-34,5950574;C;SAN MARTIN;3;0
-58,38057434;-34,6042452;D;9 DE JULIO;2;0
-58,40716132;-34,59162784;D;AGÜERO;3;0
-58,4112939;-34,58823711;D;BULNES;1;0
-58,39231424;-34,60441954;D;CALLAO;1;1
-58,39312518;-34,59963955;D;CALLAO;1;1
-58,43501353;-34,57517836;D;CARRANZA;8;0
-58,37395581;-34,60780234;D;CATEDRAL;1;1
-58,46237841;-34,55564177;D;CONGRESO DE TUCUMAN;6;2
-58,39792376;-34,59975708;D;FACULTAD DE MEDICINA;3;2
-58,4521256;-34,56621524;D;JOSE HERNANDEZ;5;0
-58,45648913;-34,56230909;D;JURAMENTO;6;3
-58,44466815;-34,57001231;D;OLLEROS;4;0
-58,42571144;-34,57842202;D;PALERMO;3;0
-58,42119601;-34,58141119;D;PLAZA ITALIA;5;0
-58,40539944;-34,60458106;D;PUEYRREDON;3;0
-58,40239534;-34,59442572;D;PUEYRREDON;3;0
-58,38514236;-34,60158717;D;TRIBUNALES;5;1
-58,42678902;-34,62701547;E;AVENIDA LA PLATA;2;0
-58,37758089;-34,61284911;E;BELGRANO;3;0
-58,41553282;-34,62536611;E;BOEDO;1;0
-58,37368422;-34,60924243;E;BOLIVAR;5;0
-58,37177217;-34,59665734;E;CATALINAS;6;2
-58,37040424;-34,60332938;E;CORREO CENTRAL;9;4
-58,44217071;-34,63104184;E;EMILIO MITRE;1;0
-58,3915117;-34,62271967;E;ENTRE RIOS;2;0
-58,38017361;-34,6181256;E;INDEPENDENCIA;3;0
-58,38153494;-34,61793739;E;INDEPENDENCIA;3;0
-58,43381625;-34,62801755;E;JOSE MARIA MORENO;2;0
-58,40293658;-34,62386571;E;JUJUY;2;0
-58,45027826;-34,63638919;E;MEDALLA MILAGROSA;2;0
-58,39706807;-34,62310987;E;PICHINCHA;2;0
-58,37401822;-34,59119381;E;RETIRO;10;3
-58,37663233;-34,59190136;E;RETIRO;10;3
-58,38514855;-34,62233949;E;SAN JOSE;2;0
-58,40939078;-34,62465379;E;URQUIZA;2;0
-58,45789176;-34,64013735;E;VARELA;1;0
-58,39892759;-34,63575018;H;CASEROS;4;3
-58,4037215;-34,59845511;H;CORDOBA;6;3
-58,40545033;-34,6044902;H;CORRIENTES;10;6
-58,39132547;-34,58343972;H;FACULTAD DE DERECHO;2;3
-58,41238515;-34,64126894;H;HOSPITALES;3;3
-58,40232273;-34,62309232;H;HUMBERTO 1°;5;4
-58,40096956;-34,62937566;H;INCLAN;4;3
-58,39721558;-34,58746155;H;LAS HERAS;6;4
-58,40603638;-34,60893524;H;ONCE;10;3
-58,40579483;-34,63840599;H;PARQUE PATRICIOS;4;3
-58,40237618;-34,5945254;H;SANTA FE;9;7
-58,40473172;-34,61524215;H;VENEZUELA;4;3
